nomor_registrasi,nama_produk,merk,jenis_kemasan,ukuran_kemasan,produsen,kota_produsen,provinsi_produsen
MD 268306066025,Minuman Teh Rasa Vanila,TEH GELAS,Gelas Plastik, (270ml; 300ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268311001332,Minuman Teh,Everfresh,Gelas Plastik, PP (150ml; 160ml; 170ml; 180ml; 190ml),PT EVERFRESH INDOBEVERAGE, Kota Semarang, Jawa Tengah
MD 468310074032,Minuman Teh Rasa Apel,FRESTEA,Karton Laminat, (200ml),PT COCA-COLA BOTTLING INDONESIA, Kota Jakarta Selatan, DKI Jakarta
MD 268310037243,Minuman Teh Rasa Apel,OT Vit~Amin Tea,Botol Plastik, (250ml; 350ml; 400ml; 425ml; 500ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268331067041,Minuman Teh Rasa Lemon,TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268331069041,Minuman Teh Rasa Vanila,TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268313002045,Minuman Teh Melati (Original Tea),TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268310038243,Minuman Teh Rasa Jeruk,OT Vit~Amin Tea,Botol Plastik, (250ml; 350ml; 400ml; 425ml; 500ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268313043006,Minuman Teh Rasa Apel,Sepet Wangi,Gelas Plastik, (200ml),PT SINGA MAS INDONESIA, Kota Jakarta Utara, Jawa Timur
MD 268310089243,Minuman Teh Rasa Vanila,TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268310027208,Minuman Teh Hijau Susu (Matcha Latte) ,KIYORA,Botol Plastik,  (300ml),PT HOKKAN INDONESIA, Kab. Bogor, Jawa Barat
MD 268310011074,Minuman Teh Melati,TeaBo,Botol Plastik, (250ml; 280ml; 300ml; 330ml; 360ml),PT MINUMAN CITA RASA, Kota Jakarta Selatan, DKI Jakarta
MD 268310009074,Minuman Teh Lemon,TeaBo,Botol Plastik, (250ml; 280ml; 300ml; 330ml; 360ml),PT MINUMAN CITA RASA, Kota Jakarta Selatan, DKI Jakarta
MD 268310015074,Minuman Teh Rasa Madu,TeaBo,Botol Plastik, (250ml; 280ml; 300ml; 330ml; 360ml),PT MINUMAN CITA RASA, Kota Jakarta Selatan, DKI Jakarta
MD 268310047243,Minuman Teh Rasa Aloe Vera; Stroberi; Grapefruit,OT Adem Sejuk,Botol Plastik, (250ml; 350ml; 500ml),PT CS2 POLA SEHAT
MD 268313081046,Minuman Teh Rasa Markisa,TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 468310076032,Minuman Teh Rasa Markisa,FRESTEA,Karton Laminat, (200ml),PT COCA-COLA BOTTLING INDONESIA, Kota Jakarta Selatan, DKI Jakarta
MD 268313034006,Minuman Teh Rasa Leci,SERRR,Gelas Plastik, (200ml),PT SINGA MAS INDONESIA, Kota Jakarta Utara, Jawa Timur
MD 268320060024,Minuman Teh Rasa Teh Hijau Madu,TEH GELAS,Gelas Plastik, (270ml; 300ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268313035006,Minuman Teh Rasa Apel,SERRR,Gelas Plastik, (200ml),PT SINGA MAS INDONESIA, Kota Jakarta Utara, Jawa Timur
MD 268313004045,Minuman Teh Melati (Original Tea),TEH GELAS,Gelas Plastik, (270ml; 300ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268331008009,Minuman Teh Rasa Apel,SOSRO,Botol Plastik, (350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268331005009,Minuman Teh Rasa Blackcurrant,SOSRO,Botol Plastik, (350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268310066032,Minuman Teh Hijau,FRESTEA,Gelas Plastik, (296ml),PT COCA-COLA BOTTLING INDONESIA, Kota Jakarta Selatan, DKI Jakarta
MD 268313013045,Minuman Teh Rasa Apel,TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
ML 568309183104,Minuman Teh (CEYLON TEA),LOTTE CHILSUNG,Kaleng, (240ml),PT TIRTA BUANA INDORAYA, Kota Jakarta Utara, DKI Jakarta
MD 268310028250,Minuman Teh Beraroma melati,Teheco,Gelas Plastik, 180ml,PT TRISUMBER MAKMUR INDAH, Kab. Bandung, Jawa Barat
MD 268306063025,Minuman Teh Rasa Vanila,TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268331065041,Minuman Teh Rasa Stroberi,TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268313026045,Minuman Teh Rasa Stroberi,TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268306061025,Minuman Teh Rasa Stroberi,TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268313079046,Minuman Teh Rasa Anggur,TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
ML 268309234036,Minuman Teh dengan Susu (Milk Tea),KIRIN ,Botol Plastik, (500ml; 1500ml),PT LUCKY MAJU JAYA, Kota Jakarta Utara, DKI Jakarta
MD 268313077046,Minuman Teh Rasa Lemon,TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268320058024,Minuman Teh Rasa Anggur,TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268313075046,Minuman Teh Rasa Anggur,TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268310012013,Minuman Teh Tawar,SANFRUIT,Botol Plastik, (350ml; 500ml),PT KENCANA ABADI JAYA, Kab. Bogor, Jawa Barat
MD 268331063041,Minuman Teh Rasa Jambu,TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268310176047,Minuman Teh Melati,SOSRO,Botol Plastik, (350ml; 450ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268313024045,Minuman Teh Rasa Lemon,TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268313007010,Minuman Teh Hijau Berperisa Anggur Blackcurrant,Martea,Gelas Plastik, (190ml; 225ml),PT SEHAT SUKSES SEJAHTERA, Kota Mojokerto, Jawa Timur
MD 568310017116,Minuman Teh Hijau Dengan Cincau,MONY,Kaleng, (300ml),PT MONYSAGA PRIMA, Kota Bekasi, Jawa Barat
MD 268311007332,Minuman Teh ,Everfresh (desain teh manis),Gelas Plastik, (190ml),PT EVERFRESH INDOBEVERAGE, Kota Semarang, Jawa Tengah
MD 466610018338,Minuman Teh Rasa Melati,Tropicana Slim,Karton Laminat, (200ml),PT NUTRIFOOD INDONESIA, Kota Jakarta Timur, DKI Jakarta
MD 468310109014,Minuman Teh Rasa Lemon,SOSRO,Karton Laminat, (200ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268313073046,Minuman Teh Rasa Stroberi,TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 468310065032,Minuman Teh Melati,Frestea,Karton Laminat, (200ml),PT COCA-COLA BOTTLING INDONESIA, Kota Jakarta Selatan, DKI Jakarta
MD 268310056014,Minuman Teh Rasa Markisa,SOSRO,Botol Plastik, (350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268313024031,Minuman Teh Rasa Lemon,MOUNTEA,Gelas Plastik, (180ml),PT TRITEGUH MANUNGGALSEJATI, Kota Tangerang, Banten
MD 268331061041,Minuman Teh Rasa Jambu,TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268328007095,Minuman Teh Hijau Rasa Madu,AJE BIG,Botol Plastik, (350ml; 500mldan 1500ml),PT AJEINDONESIA, Kab. Bekasi, Jawa Barat
MD 268310077243,Minuman Teh Rasa Sirsak,OT Adem Sejuk,Botol Plastik, (250ml; 350ml; 500ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268306059025,Minuman Teh Rasa Jambu,TEH GELAS,Gelas Plastik, (240ml; 270ml; 300ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268313022045,Minuman Teh Rasa Jambu,TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268313071046,Minuman Teh Rasa Leci,TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268313069046,Minuman Teh Rasa Jambu,TEH GELAS,Gelas Plastik, (240ml; 270ml; 300ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268313067046,Minuman Teh Rasa Jambu,TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268320054024,Minuman Teh Rasa Leci,TEH GELAS,Gelas Plastik, (240ml; 270ml; 300ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268320056024,Minuman Teh Rasa Stroberi,TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
ML 268309244036,Minuman Teh dengan Susu (The Pungency),KIRIN,Botol Plastik, (460ml),PT LUCKY MAJU JAYA, Kota Jakarta Utara, DKI Jakarta
MD 268310075243,Minuman Teh Rasa Markisa,TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268320052024,Minuman Teh Rasa Markisa,TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 168322013001,Minuman Teh Rasa Apel,SOSRO,Botol Kaca, (235ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268306057025,Minuman Teh Rasa Jambu,TEH GELAS,Gelas Plastik, (240ml; 270ml; 300ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268331059041,Minuman Teh Rasa Stroberi,TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268310107014,Minuman Teh Hijau Aroma Melati,JOYTEA,Botol Plastik, (500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268313065046,Minuman Teh Rasa Teh Hijau Madu,TEH GELAS,Gelas Plastik, (270ml; 300ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268331057041,Minuman Teh Rasa Teh Hijau Madu,TEH GELAS,Gelas Plastik, (270ml; 300ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268306055025,Minuman Teh Rasa Teh Hijau Madu,TEH GELAS,Gelas Plastik, (270ml; 300ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268310001364,Minuman Teh Beraroma Melati,UNITEA,Gelas Plastik, (200ml),PT Gunawan Indo Sejahtera, Kota Jakarta Barat, DKI Jakarta
MD 266510012211,Minuman Teh Berkarbonat Rasa Lemon Mint,Coolant ,Botol Plastik, (350ml),PT SARI ENESIS INDAH, Kab. Bekasi, Jawa Barat
MD 268306053025,Minuman Teh Rasa Stroberi,TEH GELAS,Gelas Plastik, (240ml; 270ml; 300ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 168310053047,Minuman Teh Rasa Apel,SOSRO,Botol Kaca, (235ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268313020045,Minuman Teh Rasa Markisa,TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268306051025,Minuman Teh Rasa Markisa,TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268310178047,Minuman Teh Rasa Leci Mint,SOSRO,Botol Plastik, (350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 468313023034,Minuman Teh Melati,SOSRO,Tetrapak, (200ml; 250ml; 330ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
ML 168309274090,Minuman Teh Rasa Raspberry (Raspberry Tea),JOE,Botol Kaca, (591ml),CV LIBRA FOOD SERVICE, Kota Jakarta Barat, DKI Jakarta
MD 268331055041,Minuman Teh Rasa Jambu,TEH GELAS,Gelas Plastik, (240ml; 270ml; 300ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268328112054,Minuman Teh Melati (Revive Me Jasmine),Caaya,Botol Plastik, (350ml),PT TIRTA INVESTAMA, Kota Jakarta Selatan, DKI Jakarta
MD 268320050024,Minuman Teh Rasa Stroberi,TEH GELAS,Gelas Plastik, (240ml; 270ml; 300ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268313063046,Minuman Teh Rasa Lemon,TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268328005092,Minuman Teh Dengan Dua Melati ,ICHI OCHA,Botol Plastik, (350ml; 500ml),PT ANUGERAH INDOFOOD BAROKAH MAKMUR, Kota Jakarta Selatan, DKI Jakarta
MD 268313059046,Minuman Teh Rasa Lemon,TEH GELAS,Gelas Plastik, (240ml; 270ml; 300ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268331051041,Minuman Teh Rasa Lemon,TEH GELAS,Gelas Plastik, (240ml; 270ml; 300ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268328110054,Minuman Teh Rasa Toasted Rice (Power Me Toasted Rice),Caaya,Botol Plastik, (350ml),PT TIRTA INVESTAMA, Kota Jakarta Selatan, DKI Jakarta
MD 268313061046,Minuman Teh Rasa Markisa,TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268331053041,Minuman Teh Rasa Anggur,TEH GELAS,Gelas Plastik, (240ml; 270ml; 300ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268313018045,Minuman Teh Rasa Anggur,TEH GELAS,Gelas Plastik, (240ml; 270ml; 300ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268331049041,Minuman Teh Rasa Markisa,TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268310018015,Minuman Teh Rasa Lemon (Fruit Tea Lemon),SOSRO,Botol Plastik, (350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268306011025,Minuman Teh Rasa Lemon,TEH GELAS,Gelas Plastik, (240ml; 270ml; 300ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268310017243,Minuman Teh Rasa Lemon,TEH GELAS,Gelas Plastik, (240ml; 270ml; 300ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 166510163047,Minuman Teh Berkarbonasi Rasa Mix Fruit,TEBS,Botol Kaca, (230ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268331069072,MINUMAN TEH TAWAR,EMBROSE TIPTOP,Botol Plastik PET, (330ml; 350ml; 500ml; 1000ml),PT INDOSARI SARANA PANGAN ABADI, Kab. Tangerang, Banten
MD 468310042014,Minuman Teh Rasa Apel,SOSRO,Karton Laminat, (200ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 468310049014,Minuman Teh Rasa Blackcurrant,SOSRO,Karton Laminat, (200ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 468310053014,Minuman Teh Rasa Stroberi Anggur Sensasi Dingin,SOSRO,Karton Laminat, (200ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268320046024,Minuman Teh Rasa Jambu,TEH GELAS,Gelas Plastik, (240ml; 270ml; 300ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268331047041,Minuman Teh Rasa Leci,TEH GELAS,Gelas Plastik, (240ml; 270ml; 300ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268306049025,Minuman Teh Rasa Jeruk,TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268320048024,Minuman Teh Rasa Jeruk,TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268313007261,Minuman Teh Rasa Leci,AICA,Botol Plastik, (330ml; 350ml; 450ml),PT SYNERGY BEVERAGE INDONESIA, Kota Surabaya, Jawa Timur
MD 268313008261,Minuman Teh Rasa Blackcurrant,AICA,Botol Plastik, (330ml; 350ml; 450ml),PT SYNERGY BEVERAGE INDONESIA, Kota Surabaya, Jawa Timur
MD 268313009261,Minuman Teh Rasa Apel,AICA,Botol Plastik, (330ml; 350ml; 450ml),PT SYNERGY BEVERAGE INDONESIA, Kota Surabaya, Jawa Timur
MD 268313010261,Minuman Teh Rasa Melati,AICA,Botol Plastik, (330ml; 350ml; 450ml),PT SYNERGY BEVERAGE INDONESIA, Kota Surabaya, Jawa Timur
MD 268313021033,Minuman Teh Rasa Lemon,SOSRO,Botol Plastik, (350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268310076014,Minuman Teh Hijau Rasa Jeruk Yuzu,SOSRO,Botol Plastik, (350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268313013033,Minuman Teh Melati,SOSRO,Botol Plastik, (340ml; 350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268313055046,Minuman Teh Rasa Jambu,TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268320042024,Minuman Teh Rasa Jambu,TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268313053046,Minuman Teh Rasa Leci,TEH GELAS,Gelas Plastik, (240ml; 270ml; 300ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268313016045,Minuman Teh Rasa Leci,TEH GELAS,Gelas Plastik, (240ml; 270ml; 300ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268331045041,Minuman Teh Rasa Lemon,TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268306045025,Minuman Teh Rasa Lemon,TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268320044024,Minuman Teh Rasa Lemon,TEH GELAS,Gelas Plastik, (240ml; 270ml; 300ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268306047025,Minuman Teh Rasa Stroberi,TEH GELAS,Gelas Plastik, (240ml; 270ml; 300ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268331043041,Minuman Teh Rasa Anggur,TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268306041025,Minuman Teh Rasa Jeruk,TEH GELAS,Gelas Plastik, (240ml; 270ml; 300ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268313057046,Minuman Teh Rasa Jeruk,TEH GELAS,Gelas Plastik, (240ml; 270ml; 300ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268306043025,Minuman Teh Rasa Anggur,TEH GELAS,Gelas Plastik, (240ml; 270ml; 300ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 468310064032,Minuman Teh Hijau,Frestea,Karton Laminat, (200ml),PT COCA-COLA BOTTLING INDONESIA, Kota Jakarta Selatan, DKI Jakarta
MD 468310031014,Minuman Teh Rasa Jambu Klutuk,SOSRO,Karton Laminat, (200ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 468310036014,Minuman Teh Rasa Stroberi,SOSRO,Karton Laminat, (200ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 468310032014,Minuman Teh Rasa Apel - Blackcurrant,SOSRO,Karton Laminat, (200ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268306037025,Minuman Teh Rasa Anggur,TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268306039025,Minuman Teh Rasa Leci,TEH GELAS,Gelas Plastik, (240ml; 270ml; 300ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268310040243,Minuman Teh Rasa Markisa,OT Vit~Amin Tea,Botol Plastik, (250ml; 350ml; 400ml; 425ml; 500ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268310174047,Minuman Teh Hijau Rasa Sereh Lemon,SOSRO - JOYTEA,Botol Plastik, (500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
ML 168309007321,Minuman Teh dengan Delima Organik,Biotta,Botol Kaca, (500ml),PT TOPFER ASIA, Kota Jakarta Barat, DKI Jakarta
MD 268313051046,Minuman Teh Rasa Stroberi,TEH GELAS,Gelas Plastik, (240ml; 270ml; 300ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268320040024,Minuman Teh Rasa Markisa,TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268310140047,Minuman Teh Tawar,SOSRO,Botol Plastik, (350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268313047046,Minuman Teh Rasa Jeruk,TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268331037041,Minuman Teh Rasa Jeruk,TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268320032024,Minuman Teh Rasa Jeruk,TEH GELAS,Gelas Plastik, (240ml; 270ml; 300ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268331041041,Minuman Teh Rasa Stroberi,TEH GELAS,Gelas Plastik, (240ml; 270ml; 300ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268320038024,Minuman Teh Rasa Lemon,TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268331039041,Minuman Teh Rasa Jeruk,TEH GELAS,Gelas Plastik, (240ml; 270ml; 300ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268313035034,Minuman Teh Hijau Aroma Melati,SOSRO - JOYTEA,Botol Plastik, (500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268313045046,Minuman Teh Rasa Leci,TEH GELAS,Gelas Plastik, (240ml; 270ml; 300ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268320036024,Minuman Teh Rasa Leci,TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268313048006,Minuman Teh Rasa Markisa,Fiesta,Botol Plastik, (350ml),PT SINGA MAS INDONESIA, Kota Jakarta Utara, Jawa Timur
MD 268313045006,Minuman Teh Rasa Apel,Fiesta,Botol Plastik, (350ml),PT SINGA MAS INDONESIA, Kota Jakarta Utara, Jawa Timur
MD 268310067243,Minuman Teh Rasa Stroberi,TEH GELAS,Gelas Plastik, (240ml; 270ml; 300ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
ML 168309272090,Minuman Teh Rasa Lemon (Half Lemon Tea),JOE,Botol Kaca, (591ml),CV LIBRA FOOD SERVICE, Kota Jakarta Barat, DKI Jakarta
MD 268313006045,Minuman Teh Rasa Apel,TEH GELAS,Gelas Plastik, (240ml; 270ml; 300ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268310018243,Minuman Teh Rasa Apel,TEH GELAS,Gelas Plastik, (240ml; 270ml; 300ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268306012025,Minuman Teh Rasa Apel,TEH GELAS,Gelas Plastik, (240ml; 270ml; 300ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268331019041,Minuman Teh Rasa Apel,TEH GELAS,Gelas Plastik, (240ml; 270ml; 300ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268313031046,Minuman Teh Rasa Apel,TEH GELAS,Gelas Plastik, (240ml; 270ml; 300ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268320013024,Minuman Teh Rasa Apel,TEH GELAS,Gelas Plastik, (240ml; 270ml; 300ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268306027025,Minuman Teh Rasa Jambu,TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268310044014,Minuman Teh Melati,SOSRO,Botol Plastik, (340ml; 350ml; 500ml),PT SINAR SOSRO, Kota Bekasi, Jawa Barat
MD 268310065243,Minuman Teh Rasa Anggur,TEH GELAS,Gelas Plastik, (240ml; 270ml; 300ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
ML 168309270090,Minuman Teh Rasa Lemon (Lemon Tea),JOE,Botol Kaca, (591ml),CV LIBRA FOOD SERVICE, Kota Jakarta Barat, DKI Jakarta
MD 268331110023,Minuman Teh Beraroma Melati,DOLPHIN,Gelas Plastik, (180ml),PT DOLPHIN FOOD & BEVERAGES INDUSTRY, Kab. Tangerang, Banten
MD 268306035025,Minuman Teh Rasa Jambu,TEH GELAS,Gelas Plastik, (165ml; 170ml; 175ml; 180ml; 190ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
MD 268306031025,Minuman Teh Rasa Lemon,TEH GELAS,Gelas Plastik, (240ml; 270ml; 300ml),PT CS2 POLA SEHAT, Kab. Tangerang, Banten
